38 interesting moves

##########NEW##############
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 59:290s. -49 -1 0 48 straight;[]
Move 58:280s. -42 0 0 48 straight;[]
Move 57:280s. -42 0 0 47 straight;[]
Move 56:280s. -42 5 0 44 straight;[]
Move 55:280s. -42 4 0 43 straight;[]
Move 54:280s. -42 3 9 42 k_turn;[2, 3, 3]
Move 53:280s. -42 2 0 41 straight;[]
Move 52:280s. -42 1 0 40 straight;[]
Move 51:280s. -42 -1 0 39 straight;[]
Move 50:240s. -38 0 0 39 straight;[]
Move 49:240s. -38 0 0 38 straight;[]
Move 48:240s. -38 2 0 37 turn;[2, 3]
Move 47:240s. -38 3 0 36 straight;[]
Move 46:240s. -38 -1 0 35 straight;[]
Move 45:220s. -32 4 0 35 straight;[]
Move 44:220s. -32 3 0 34 straight;[]
Move 43:220s. -32 2 0 33 straight;[]
Move 42:220s. -32 0 0 32 turn;[1, 2]
Move 41:220s. -32 0 0 31 straight;[]
Move 40:220s. -32 1 0 30 straight;[]
Move 39:220s. -32 -1 9 29 k_turn;[1, 2, 2]
Move 38:180s. -28 0 9 29 k_turn;[1, 2, 2]
Move 37:180s. -28 0 0 28 straight;[]
Move 36:180s. -28 2 9 27 k_turn;[1, 2, 2]
Move 35:180s. -28 1 0 26 straight;[]
Move 34:180s. -28 -1 0 25 straight;[]
Move 33:140s. -24 0 0 25 straight;[]
Move 32:140s. -24 2 0 24 turn;[2, 3]
Move 31:140s. -24 3 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 61:290s. -50 -1 0 48 straight;[]
Move 60:280s. -47 0 0 48 straight;[]
Move 59:280s. -47 5 0 47 straight;[]
Move 58:280s. -47 4 0 46 straight;[]
Move 57:280s. -47 -1 0 44 straight;[]
Move 56:270s. -42 5 0 44 straight;[]
Move 55:270s. -42 4 0 43 straight;[]
Move 54:270s. -42 0 9 42 k_turn;[2, 3, 3]
Move 53:270s. -42 0 0 41 straight;[]
Move 52:270s. -42 3 0 40 straight;[]
Move 51:270s. -42 -1 0 39 straight;[]
Move 50:250s. -37 4 0 39 straight;[]
Move 49:250s. -37 3 0 38 straight;[]
Move 48:250s. -37 0 0 37 turn;[2, 3]
Move 47:250s. -37 0 0 36 straight;[]
Move 46:250s. -37 2 0 35 straight;[]
Move 45:250s. -37 -1 0 34 straight;[]
Move 44:220s. -32 3 0 34 straight;[]
Move 43:220s. -32 2 0 33 straight;[]
Move 42:220s. -32 0 0 32 turn;[1, 2]
Move 41:220s. -32 0 0 31 straight;[]
Move 40:220s. -32 1 0 30 straight;[]
Move 39:220s. -32 -1 9 29 k_turn;[1, 2, 2]
Move 38:180s. -28 0 9 29 k_turn;[1, 2, 2]
Move 37:180s. -28 0 0 28 straight;[]
Move 36:180s. -28 2 9 27 k_turn;[1, 2, 2]
Move 35:180s. -28 1 0 26 straight;[]
Move 34:180s. -28 -1 0 25 straight;[]
Move 33:140s. -24 0 0 25 straight;[]
Move 32:140s. -24 2 0 24 turn;[2, 3]
Move 31:140s. -24 3 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 60:290s. -49 -1 0 48 straight;[]
Move 59:280s. -47 0 0 48 straight;[]
Move 58:280s. -47 5 0 47 straight;[]
Move 57:280s. -47 -1 0 44 straight;[]
Move 56:270s. -42 5 0 44 straight;[]
Move 55:270s. -42 4 0 43 straight;[]
Move 54:270s. -42 0 9 42 k_turn;[2, 3, 3]
Move 53:270s. -42 0 0 41 straight;[]
Move 52:270s. -42 3 0 40 straight;[]
Move 51:270s. -42 -1 0 39 straight;[]
Move 50:250s. -37 4 0 39 straight;[]
Move 49:250s. -37 3 0 38 straight;[]
Move 48:250s. -37 0 0 37 turn;[2, 3]
Move 47:250s. -37 0 0 36 straight;[]
Move 46:250s. -37 2 0 35 straight;[]
Move 45:250s. -37 -1 0 34 straight;[]
Move 44:220s. -32 3 0 34 straight;[]
Move 43:220s. -32 2 0 33 straight;[]
Move 42:220s. -32 0 0 32 turn;[1, 2]
Move 41:220s. -32 0 0 31 straight;[]
Move 40:220s. -32 1 0 30 straight;[]
Move 39:220s. -32 -1 9 29 k_turn;[1, 2, 2]
Move 38:180s. -28 0 9 29 k_turn;[1, 2, 2]
Move 37:180s. -28 0 0 28 straight;[]
Move 36:180s. -28 2 9 27 k_turn;[1, 2, 2]
Move 35:180s. -28 1 0 26 straight;[]
Move 34:180s. -28 -1 0 25 straight;[]
Move 33:140s. -24 0 0 25 straight;[]
Move 32:140s. -24 2 0 24 turn;[2, 3]
Move 31:140s. -24 3 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 60:290s. -49 -1 0 48 straight;[]
Move 59:280s. -47 0 0 48 straight;[]
Move 58:280s. -47 0 0 47 straight;[]
Move 57:280s. -47 -1 0 44 straight;[]
Move 56:270s. -42 5 0 44 straight;[]
Move 55:270s. -42 4 0 43 straight;[]
Move 54:270s. -42 0 9 42 k_turn;[2, 3, 3]
Move 53:270s. -42 0 0 41 straight;[]
Move 52:270s. -42 3 0 40 straight;[]
Move 51:270s. -42 -1 0 39 straight;[]
Move 50:250s. -37 4 0 39 straight;[]
Move 49:250s. -37 3 0 38 straight;[]
Move 48:250s. -37 0 0 37 turn;[2, 3]
Move 47:250s. -37 0 0 36 straight;[]
Move 46:250s. -37 2 0 35 straight;[]
Move 45:250s. -37 -1 0 34 straight;[]
Move 44:220s. -32 3 0 34 straight;[]
Move 43:220s. -32 2 0 33 straight;[]
Move 42:220s. -32 0 0 32 turn;[1, 2]
Move 41:220s. -32 0 0 31 straight;[]
Move 40:220s. -32 1 0 30 straight;[]
Move 39:220s. -32 -1 9 29 k_turn;[1, 2, 2]
Move 38:180s. -28 0 9 29 k_turn;[1, 2, 2]
Move 37:180s. -28 0 0 28 straight;[]
Move 36:180s. -28 2 9 27 k_turn;[1, 2, 2]
Move 35:180s. -28 1 0 26 straight;[]
Move 34:180s. -28 -1 0 25 straight;[]
Move 33:140s. -24 0 0 25 straight;[]
Move 32:140s. -24 2 0 24 turn;[2, 3]
Move 31:140s. -24 3 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 60:290s. -50 -1 0 48 straight;[]
Move 59:280s. -43 0 0 48 straight;[]
Move 58:280s. -43 0 0 47 straight;[]
Move 57:280s. -43 5 0 44 straight;[]
Move 56:280s. -43 4 0 43 straight;[]
Move 55:280s. -43 3 9 42 k_turn;[2, 3, 3]
Move 54:280s. -43 2 0 41 straight;[]
Move 53:280s. -43 1 0 40 straight;[]
Move 52:280s. -43 -1 0 39 straight;[]
Move 51:240s. -39 0 0 39 straight;[]
Move 50:240s. -39 0 0 38 straight;[]
Move 49:240s. -39 2 0 37 turn;[2, 3]
Move 48:240s. -39 3 0 36 straight;[]
Move 47:240s. -39 -1 0 35 straight;[]
Move 46:220s. -33 4 0 35 straight;[]
Move 45:220s. -33 3 0 34 straight;[]
Move 44:220s. -33 2 0 33 straight;[]
Move 43:220s. -33 0 0 32 turn;[1, 2]
Move 42:220s. -33 0 0 31 straight;[]
Move 41:220s. -33 1 0 30 straight;[]
Move 40:220s. -33 -1 9 29 k_turn;[1, 2, 2]
Move 39:180s. -29 0 9 29 k_turn;[1, 2, 2]
Move 38:180s. -29 0 0 28 straight;[]
Move 37:180s. -29 2 9 27 k_turn;[1, 2, 2]
Move 36:180s. -29 1 0 26 straight;[]
Move 35:180s. -29 -1 0 25 straight;[]
Move 34:140s. -24 0 0 25 straight;[]
Move 33:140s. -24 2 0 24 turn;[2, 3]
Move 32:140s. -24 3 1 24 turn;[2, 3]
Move 31:140s. -24 0 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]

Move 63:300s. -52 -1 0 48 straight;[]
Move 62:290s. -49 0 0 48 straight;[]
Move 61:290s. -49 5 0 47 straight;[]
Move 60:290s. -49 4 0 46 straight;[]
Move 59:290s. -49 -1 0 44 straight;[]
Move 58:280s. -42 5 0 44 straight;[]
Move 57:280s. -42 4 0 43 straight;[]
Move 56:280s. -42 0 9 42 k_turn;[2, 3, 3]
Move 55:280s. -42 0 0 41 straight;[]
Move 54:280s. -42 3 0 40 straight;[]
Move 53:280s. -42 2 0 39 straight;[]
Move 52:280s. -42 1 0 38 straight;[]
Move 51:280s. -42 -1 0 37 turn;[2, 3]
Move 50:240s. -39 2 0 37 turn;[2, 3]
Move 49:240s. -39 3 1 37 turn;[2, 3]
Move 48:240s. -39 4 0 36 straight;[]
Move 47:240s. -39 -1 0 35 straight;[]
Move 46:220s. -33 4 0 35 straight;[]
Move 45:220s. -33 3 0 34 straight;[]
Move 44:220s. -33 2 0 33 straight;[]
Move 43:220s. -33 0 0 32 turn;[1, 2]
Move 42:220s. -33 0 0 31 straight;[]
Move 41:220s. -33 1 0 30 straight;[]
Move 40:220s. -33 -1 9 29 k_turn;[1, 2, 2]
Move 39:180s. -29 0 9 29 k_turn;[1, 2, 2]
Move 38:180s. -29 0 0 28 straight;[]
Move 37:180s. -29 2 9 27 k_turn;[1, 2, 2]
Move 36:180s. -29 1 0 26 straight;[]
Move 35:180s. -29 -1 0 25 straight;[]
Move 34:140s. -24 0 0 25 straight;[]
Move 33:140s. -24 2 0 24 turn;[2, 3]
Move 32:140s. -24 3 1 24 turn;[2, 3]
Move 31:140s. -24 0 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 63:300s. -52 -1 0 48 straight;[]
Move 62:290s. -46 0 0 48 straight;[]
Move 61:290s. -46 5 0 47 straight;[]
Move 60:290s. -46 0 0 46 straight;[]
Move 59:290s. -46 4 0 44 straight;[]
Move 58:290s. -46 3 0 43 straight;[]
Move 57:290s. -46 2 0 42 k_turn;[2, 3, 3]
Move 56:290s. -46 -1 1 42 k_turn;[2, 3, 3]
Move 55:260s. -44 3 1 42 k_turn;[2, 3, 3]
Move 54:260s. -44 4 0 41 straight;[]
Move 53:260s. -44 -1 0 40 straight;[]
Move 52:250s. -38 5 0 40 straight;[]
Move 51:250s. -38 4 0 39 straight;[]
Move 50:250s. -38 3 0 38 straight;[]
Move 49:250s. -38 0 0 37 turn;[2, 3]
Move 48:250s. -38 0 0 36 straight;[]
Move 47:250s. -38 2 0 35 straight;[]
Move 46:250s. -38 -1 0 34 straight;[]
Move 45:220s. -33 3 0 34 straight;[]
Move 44:220s. -33 2 0 33 straight;[]
Move 43:220s. -33 0 0 32 turn;[1, 2]
Move 42:220s. -33 0 0 31 straight;[]
Move 41:220s. -33 1 0 30 straight;[]
Move 40:220s. -33 -1 9 29 k_turn;[1, 2, 2]
Move 39:180s. -29 0 9 29 k_turn;[1, 2, 2]
Move 38:180s. -29 0 0 28 straight;[]
Move 37:180s. -29 2 9 27 k_turn;[1, 2, 2]
Move 36:180s. -29 1 0 26 straight;[]
Move 35:180s. -29 -1 0 25 straight;[]
Move 34:140s. -24 0 0 25 straight;[]
Move 33:140s. -24 2 0 24 turn;[2, 3]
Move 32:140s. -24 3 1 24 turn;[2, 3]
Move 31:140s. -24 0 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 63:300s. -52 -1 0 48 straight;[]
Move 62:290s. -48 5 0 48 straight;[]
Move 61:290s. -48 4 0 47 straight;[]
Move 60:290s. -48 3 0 46 straight;[]
Move 59:290s. -48 2 0 45 bump;[4]
Move 58:290s. -48 -1 0 44 straight;[]
Move 57:260s. -44 0 0 44 straight;[]
Move 56:260s. -44 0 0 43 straight;[]
Move 55:260s. -44 3 9 42 k_turn;[2, 3, 3]
Move 54:260s. -44 4 0 41 straight;[]
Move 53:260s. -44 -1 0 40 straight;[]
Move 52:250s. -38 5 0 40 straight;[]
Move 51:250s. -38 4 0 39 straight;[]
Move 50:250s. -38 3 0 38 straight;[]
Move 49:250s. -38 0 0 37 turn;[2, 3]
Move 48:250s. -38 0 0 36 straight;[]
Move 47:250s. -38 2 0 35 straight;[]
Move 46:250s. -38 -1 0 34 straight;[]
Move 45:220s. -33 3 0 34 straight;[]
Move 44:220s. -33 2 0 33 straight;[]
Move 43:220s. -33 0 0 32 turn;[1, 2]
Move 42:220s. -33 0 0 31 straight;[]
Move 41:220s. -33 1 0 30 straight;[]
Move 40:220s. -33 -1 9 29 k_turn;[1, 2, 2]
Move 39:180s. -29 0 9 29 k_turn;[1, 2, 2]
Move 38:180s. -29 0 0 28 straight;[]
Move 37:180s. -29 2 9 27 k_turn;[1, 2, 2]
Move 36:180s. -29 1 0 26 straight;[]
Move 35:180s. -29 -1 0 25 straight;[]
Move 34:140s. -24 0 0 25 straight;[]
Move 33:140s. -24 2 0 24 turn;[2, 3]
Move 32:140s. -24 3 1 24 turn;[2, 3]
Move 31:140s. -24 0 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 63:300s. -52 -1 0 48 straight;[]
Move 62:290s. -48 0 0 48 straight;[]
Move 61:290s. -48 5 0 47 straight;[]
Move 60:290s. -48 4 0 46 straight;[]
Move 59:290s. -48 3 0 45 bump;[4]
Move 58:290s. -48 -1 0 44 straight;[]
Move 57:260s. -44 0 0 44 straight;[]
Move 56:260s. -44 0 0 43 straight;[]
Move 55:260s. -44 3 9 42 k_turn;[2, 3, 3]
Move 54:260s. -44 4 0 41 straight;[]
Move 53:260s. -44 -1 0 40 straight;[]
Move 52:250s. -38 5 0 40 straight;[]
Move 51:250s. -38 4 0 39 straight;[]
Move 50:250s. -38 3 0 38 straight;[]
Move 49:250s. -38 0 0 37 turn;[2, 3]
Move 48:250s. -38 0 0 36 straight;[]
Move 47:250s. -38 2 0 35 straight;[]
Move 46:250s. -38 -1 0 34 straight;[]
Move 45:220s. -33 3 0 34 straight;[]
Move 44:220s. -33 2 0 33 straight;[]
Move 43:220s. -33 0 0 32 turn;[1, 2]
Move 42:220s. -33 0 0 31 straight;[]
Move 41:220s. -33 1 0 30 straight;[]
Move 40:220s. -33 -1 9 29 k_turn;[1, 2, 2]
Move 39:180s. -29 0 9 29 k_turn;[1, 2, 2]
Move 38:180s. -29 0 0 28 straight;[]
Move 37:180s. -29 2 9 27 k_turn;[1, 2, 2]
Move 36:180s. -29 1 0 26 straight;[]
Move 35:180s. -29 -1 0 25 straight;[]
Move 34:140s. -24 0 0 25 straight;[]
Move 33:140s. -24 2 0 24 turn;[2, 3]
Move 32:140s. -24 3 1 24 turn;[2, 3]
Move 31:140s. -24 0 0 23 straight;[]
Move 30:140s. -24 4 0 22 straight;[]
Move 29:140s. -24 -1 0 21 straight;[]
Move 28:130s. -17 5 0 21 straight;[]
Move 27:130s. -17 4 0 20 straight;[]
Move 26:130s. -17 3 0 19 straight;[]
Move 25:130s. -17 2 0 18 straight;[]
Move 24:130s. -17 0 0 17 turn;[1, 2]
Move 23:130s. -17 0 0 16 straight;[]
Move 22:130s. -17 1 0 15 straight;[]
Move 21:130s. -17 -1 0 14 straight;[]
Move 20:90s. -13 2 0 14 straight;[]
Move 19:90s. -13 0 0 13 turn;[1, 2]
Move 18:90s. -13 0 0 12 straight;[]
Move 17:90s. -13 1 0 11 straight;[]
Move 16:90s. -13 -1 0 10 turn;[2, 3]
Move 15:50s. -9 2 0 10 turn;[2, 3]
Move 14:50s. -9 3 1 10 turn;[2, 3]
Move 13:50s. -9 0 0 9 straight;[]
Move 12:50s. -9 4 0 8 straight;[]
Move 11:50s. -9 -1 0 7 straight;[]
Move 10:40s. -4 5 0 7 straight;[]
Move 9:40s. -4 4 0 6 straight;[]
Move 8:40s. -4 3 0 5 straight;[]
Move 7:40s. -4 2 0 4 straight;[]
Move 6:40s. -4 1 0 3 turn;[1, 2]
Move 5:40s. -4 -1 1 3 turn;[1, 2]
Move 4:0s. -0 2 1 3 turn;[1, 2]
Move 3:0s. -0 0 0 2 straight;[]
Move 2:0s. -0 0 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
